system:time_start,pdsi
"Jun 1, 2004",-2.735
"Jul 1, 2004",-2.58
"Aug 1, 2004",-1.79
"Sep 1, 2004",-1.097
"Jun 1, 2005",-0.289
"Jul 1, 2005",1.212
"Aug 1, 2005",0.894
"Sep 1, 2005",-0.277
"Jun 1, 2006",1.652
"Jul 1, 2006",1.269
"Aug 1, 2006",0.903
"Sep 1, 2006",-0.425
"Jun 1, 2007",-3.006
"Jul 1, 2007",-3.245
"Aug 1, 2007",-3.273
"Sep 1, 2007",-3.251
"Jun 1, 2008",-1.054
"Jul 1, 2008",-1.457
"Aug 1, 2008",-1.619
"Sep 1, 2008",-1.696
"Jun 1, 2009",1.381
"Jul 1, 2009",2.02
"Aug 1, 2009",1.983
"Sep 1, 2009",2.15
"Jun 1, 2010",-0.241
"Jul 1, 2010",1.881
"Aug 1, 2010",1.915
"Sep 1, 2010",1.863
"Jun 1, 2011",2.753
"Jul 1, 2011",2.695
"Aug 1, 2011",2.219
"Sep 1, 2011",1.56
"Jun 1, 2012",1.272
"Jul 1, 2012",0.773
"Aug 1, 2012",-0.389
"Sep 1, 2012",-1.23
"Jun 1, 2013",-2.252
"Jul 1, 2013",-2.331
"Aug 1, 2013",-2.351
"Sep 1, 2013",-2.424
"Jun 1, 2014",-0.774
"Jul 1, 2014",-1.25
"Aug 1, 2014",-1.027
"Sep 1, 2014",0.773
"Jun 1, 2015",-2.196
"Jul 1, 2015",-2.394
"Aug 1, 2015",-1.625
"Sep 1, 2015",-1.186
"Jun 1, 2016",-1.804
"Jul 1, 2016",-2.212
"Aug 1, 2016",-2.431
"Sep 1, 2016",-2.547
"Jun 1, 2017",3.961
"Jul 1, 2017",3.332
"Aug 1, 2017",2.683
"Sep 1, 2017",2.092
"Jun 1, 2018",0.671
"Jul 1, 2018",0.271
"Aug 1, 2018",-1.195
"Sep 1, 2018",-1.533
"Jun 1, 2019",-1.099
"Jul 1, 2019",-1.488
"Aug 1, 2019",-1.624
"Sep 1, 2019",-1.509
"Jun 1, 2020",-2.505
"Jul 1, 2020",-1.87
"Aug 1, 2020",-1.732
"Sep 1, 2020",-2.028
